,close,positive,negative,sentiment,change,momentum,decision
2018-06-06,191.33999599999999,0.5337064403132877,0.4662935596867127,1,0.0,0,sell
2018-06-07,188.179993,0.5006350275956315,0.4993649724043683,0,0.016515120027492784,0,sell
2018-06-08,189.100006,0.522572444985985,0.4774275550140151,1,0.004889005389643157,1,buy
2018-06-09,190.3199995,0.6035547885021321,0.3964452114978682,1,0.0064515783251746,1,buy
2018-06-10,190.92999625,0.560508583547465,0.4394914164525348,1,0.00320511113704576,1,buy
2018-06-11,191.53999299999998,0.5414863438203332,0.4585136561796666,1,0.003194871219718015,1,buy
2018-06-12,192.399994,0.5514884231345141,0.4485115768654861,1,0.004489929160642766,1,buy
2018-06-13,192.41000400000001,0.5511065051608274,0.44889349483917307,1,5.202702864960849e-05,1,buy
2018-06-14,196.809998,0.552105555375949,0.44789444462405065,1,0.022867802653338088,1,buy
2018-06-15,195.850006,0.554514994401474,0.4454850055985256,1,0.004877760325976934,0,sell
2018-06-16,197.080002,0.6217388938055943,0.3782611061944057,1,0.0062802959526077305,1,buy
2018-06-17,197.695,0.6209581198849157,0.3790418801150843,1,0.0031205499987765665,1,buy
2018-06-18,198.309998,0.5693360072996321,0.4306639927003684,1,0.0031108424593440107,1,buy
2018-06-19,197.490005,0.4573491023812166,0.5426508976187836,0,0.004134904988501945,0,sell
2018-06-20,202.0,0.5467550765907123,0.4532449234092877,1,0.02283657342557667,1,buy
2018-06-21,201.5,0.5589621946347016,0.44103780536529824,1,0.0024752475247524753,0,sell
2018-06-22,201.740005,0.5969154716108244,0.40308452838917536,1,0.0011910918114143745,1,buy
2018-06-23,199.0450055,0.5696402641663765,0.4303597358336235,1,0.013358775816427656,0,sell
2018-06-24,197.69750575,0.5125086401386916,0.4874913598613077,1,0.006769824475701286,0,sell
2018-06-25,196.350006,0.4710755144210019,0.5289244855789978,0,0.006815967378485741,0,sell
2018-06-26,199.0,0.573948235723242,0.4260517642767577,1,0.013496276643862146,1,buy
2018-06-27,195.83999599999999,0.5197999218610804,0.4802000781389199,1,0.01587941708542721,0,sell
2018-06-28,196.229996,0.5975697858408778,0.4024302141591225,1,0.0019914216093019875,1,buy
2018-06-29,194.320007,0.5689538671123504,0.4310461328876496,1,0.00973342016477438,0,sell
2018-06-30,195.84000400000002,0.4513883941614643,0.5486116058385357,0,0.00782213331229459,1,sell
2018-07-01,196.60000250000002,0.5645450227780869,0.4354549772219129,1,0.0038807112156717203,1,buy
2018-07-02,197.360001,0.5377117312165445,0.4622882687834557,1,0.003865709513406515,1,buy
2018-07-03,192.729996,0.4667155169333354,0.5332844830666649,0,0.02345969282803161,0,sell
2018-07-04,195.58999649999998,0.5766600925675597,0.42333990743244027,1,0.014839415552107332,1,buy
2018-07-05,198.449997,0.5318635163285775,0.4681364836714224,1,0.014622427277358291,1,buy
2018-07-06,203.229996,0.5677056381894766,0.4322943618105236,1,0.024086667030788635,1,buy
2018-07-07,203.9850005,0.5369245559090916,0.4630754440909082,1,0.0037150249218132767,1,buy
2018-07-08,204.36250275,0.5766186679493102,0.4233813320506897,1,0.001850637297226136,1,buy
2018-07-09,204.740005,0.5353931804918455,0.4646068195081543,1,0.0018472187652829675,1,buy
2018-07-10,203.53999299999998,0.6045555267200353,0.3954444732799645,1,0.005861150584615915,0,sell
2018-07-11,202.53999299999998,0.5480346761385967,0.4519653238614033,1,0.00491303937501855,0,sell
2018-07-12,206.919998,0.5798322415541085,0.4201677584458913,1,0.021625383387862622,1,buy
2018-07-13,207.320007,0.5925697294012664,0.4074302705987335,1,0.0019331577608076886,1,buy
2018-07-14,207.2750015,0.5014484395455043,0.4985515604544952,0,0.00021708228092044213,0,sell
2018-07-15,207.25249875,0.5565338190187367,0.44346618098126334,1,0.00010856470793464698,0,sell
2018-07-16,207.229996,0.5648077097953823,0.43519229020461775,1,0.00010857649551017061,0,sell
2018-07-17,209.99000499999997,0.5673162953970214,0.43268370460297867,1,0.013318578648237624,1,buy
2018-07-18,209.360001,0.5044167009473398,0.4955832990526605,0,0.003000161841035991,0,sell
2018-07-19,208.08999599999999,0.4757993802656683,0.5242006197343319,0,0.006066130081839396,0,sell
2018-07-20,209.940002,0.5585658047237284,0.4414341952762712,1,0.008890412973048488,1,buy
2018-07-21,210.425003,0.5782440733165995,0.4217559266834007,1,0.0023101886033134894,1,buy
2018-07-22,210.6675035,0.5662953146301889,0.4337046853698117,1,0.0011524319664617305,1,buy
2018-07-23,210.91000400000001,0.5441540945602615,0.4558459054397384,1,0.0011511053958068362,1,buy
2018-07-24,214.669998,0.5403345593110424,0.4596654406889577,1,0.017827480577924493,1,buy
2018-07-25,217.5,0.4742455243447447,0.525754475655255,0,0.013183034547752721,1,sell
2018-07-26,176.259995,0.4841994615887735,0.5158005384112267,0,0.18960921839080458,0,sell
2018-07-27,174.889999,0.4750529789701889,0.5249470210298108,0,0.0077725861730565384,0,sell
2018-07-28,172.9749985,0.4954104836236303,0.5045895163763695,0,0.010949742758017803,0,sell
2018-07-29,172.01749825000002,0.5476276865891322,0.4523723134108675,1,0.005535483499368154,0,sell
2018-07-30,171.059998,0.5691632626094318,0.4308367373905682,1,0.005566295637019645,0,sell
2018-07-31,172.580002,0.4914463037407925,0.5085536962592068,0,0.008885794561975852,1,sell
2018-08-01,171.649994,0.5034692571347308,0.496530742865269,0,0.005388851484658199,0,sell
2018-08-02,176.369995,0.4807956551358147,0.519204344864185,0,0.02749782210886647,1,sell
2018-08-03,177.779999,0.5135243062509636,0.4864756937490363,1,0.007994579803667938,1,buy
2018-08-04,181.7350005,0.5825961599052852,0.41740384009471465,1,0.022246605480068703,1,buy
2018-08-05,183.71250125,0.5632463287883354,0.4367536712116644,1,0.010881232258834974,1,buy
2018-08-06,185.690002,0.4904543928163392,0.5095456071836607,0,0.01076410552654206,1,sell
2018-08-07,183.809998,0.4775652897351703,0.5224347102648298,0,0.010124422315424314,0,sell
2018-08-08,185.179993,0.4975666300138868,0.5024333699861133,0,0.007453321445550469,1,sell
2018-08-09,183.08999599999999,0.5256610949987343,0.4743389050012658,1,0.011286300243029013,0,sell
2018-08-10,180.259995,0.5543016148240031,0.4456983851759969,1,0.015456884929966254,0,sell
2018-08-11,180.154999,0.5539813394949952,0.446018660505005,1,0.0005824697820500875,0,sell
2018-08-12,180.10250100000002,0.5228372596294109,0.4771627403705894,1,0.00029140462541361797,0,sell
2018-08-13,180.050003,0.4856852521262374,0.5143147478737626,0,0.00029148956682180745,0,sell
2018-08-14,181.110001,0.5085777401996463,0.4914222598003538,0,0.0058872423345641784,1,sell
2018-08-15,179.529999,0.5209462356398482,0.4790537643601519,1,0.008723990896560193,0,sell
2018-08-16,174.699997,0.5056686219079909,0.4943313780920094,0,0.026903592864165323,0,sell
2018-08-17,173.800003,0.5049879668217059,0.4950120331782937,0,0.0051516543529190354,0,sell
2018-08-18,173.1500015,0.5405582524297896,0.4594417475702104,1,0.0037399395211748176,0,sell
2018-08-19,172.82500075000002,0.5558150104269506,0.4441849895730495,1,0.0018769895881288036,0,sell
2018-08-20,172.5,0.5129298585286476,0.4870701414713526,1,0.0018805193032815023,0,sell
2018-08-21,172.619995,0.5144729640848326,0.485527035915168,1,0.0006956231884057319,1,buy
2018-08-22,173.639999,0.5367974010386012,0.463202598961399,1,0.005908956259673164,1,buy
2018-08-23,172.899994,0.5346358431176944,0.4653641568823053,1,0.0042617196743936665,0,sell
2018-08-24,174.649994,0.5542445743957649,0.4457554256042353,1,0.01012145784111479,1,buy
2018-08-25,176.0550005,0.5298643199567993,0.4701356800432008,1,0.008044698243734341,1,buy
2018-08-26,176.75750375,0.5301291548620105,0.4698708451379893,1,0.0039902487745584175,1,buy
2018-08-27,177.46000700000002,0.5291938499768738,0.4708061500231263,1,0.0039743899698516,1,buy
2018-08-28,176.259995,0.5597548888312252,0.440245111168775,1,0.006762154585061044,0,sell
2018-08-29,175.899994,0.546839341212933,0.4531606587870671,1,0.0020424430398968928,0,sell
2018-08-30,177.639999,0.5454210036481408,0.4545789963518596,1,0.009892012844525717,1,buy
2018-08-31,175.729996,0.5292645055204257,0.4707354944795736,1,0.010752099812835448,0,sell
2018-09-01,173.445,0.5330108356094232,0.4669891643905768,1,0.013002879713261967,0,sell
2018-09-02,172.302502,0.6053784842573989,0.3946215157426014,1,0.00658709100867704,0,sell
2018-09-03,171.731253,0.5109223368520148,0.4890776631479852,1,0.0033153842420697672,0,sell
2018-09-04,171.16000400000001,0.5707284183829308,0.4292715816170691,1,0.0033264125779132033,0,sell
2018-09-05,167.179993,0.5881420651981739,0.4118579348018262,1,0.023253160241805196,0,sell
2018-09-06,162.529999,0.4995419382394085,0.500458061760592,0,0.0278142971330307,0,sell
2018-09-07,163.03999299999998,0.5342591785115516,0.4657408214884481,1,0.0031378453401699562,1,buy
2018-09-08,163.60999299999997,0.5537315003756242,0.4462684996243755,1,0.0034960747330257383,1,buy
2018-09-09,163.894993,0.5546028171898965,0.44539718281010304,1,0.001741947388262678,1,buy
2018-09-10,164.179993,0.5799101680746224,0.42008983192537735,1,0.0017389182840991159,1,buy
2018-09-11,165.940002,0.6143046550595651,0.3856953449404346,1,0.010719996802533648,1,buy
2018-09-12,162.0,0.5370825234043256,0.4629174765956742,1,0.02374353352123012,0,sell
2018-09-13,161.360001,0.5444611384358469,0.4555388615641533,1,0.003950611111111043,0,sell
2018-09-14,162.320007,0.5372521779146969,0.4627478220853031,1,0.005949466993372123,1,buy
2018-09-15,161.4500045,0.5946777183646573,0.4053222816353424,1,0.005359798314942151,0,sell
2018-09-16,161.01500325,0.5946360551373653,0.4053639448626345,1,0.0026943402779527276,0,sell
2018-09-17,160.580002,0.6578533138448173,0.34214668615518234,1,0.002701619359809559,0,sell
2018-09-18,160.300003,0.5396839980127123,0.460316001987288,1,0.0017436729138912556,0,sell
2018-09-19,163.059998,0.5346802701855641,0.4653197298144358,1,0.01721768526729225,1,buy
2018-09-20,166.020004,0.5612063205091484,0.4387936794908516,1,0.018152864199102912,1,buy
2018-09-21,162.929993,0.5714805184206729,0.42851948157932707,1,0.018612281204378262,0,sell
2018-09-22,164.16999850000002,0.5263240489157848,0.4736759510842152,1,0.007610664415851436,1,buy
2018-09-23,164.79000125000002,0.5912926347911347,0.40870736520886536,1,0.003776589849941416,1,buy
2018-09-24,165.41000400000001,0.5912714344522586,0.4087285655477415,1,0.0037623808804965195,1,buy
2018-09-25,164.91000400000001,0.5397056863857933,0.4602943136142071,1,0.003022791777455008,0,sell
2018-09-26,166.949997,0.547342490106279,0.4526575098937214,1,0.012370341098287652,1,buy
2018-09-27,168.83999599999999,0.4623507755218215,0.5376492244781784,0,0.01132074893059141,1,sell
2018-09-28,164.46000700000002,0.37883965443352224,0.6211603455664779,0,0.025941655435717772,0,sell
2018-09-29,163.4500045,0.3842229981724667,0.6157770018275333,0,0.0061413258969398735,0,sell
2018-09-30,162.94500325,0.3984123666293778,0.6015876333706215,0,0.003089637418761847,0,sell
2018-10-01,162.440002,0.487880928564029,0.5121190714359709,0,0.00309921286279161,0,sell
2018-10-02,159.330002,0.5182268225464345,0.4817731774535655,1,0.019145530421749105,0,sell
2018-10-03,162.429993,0.4888450220372426,0.5111549779627571,0,0.01945641725404603,1,sell
2018-10-04,158.850006,0.5132575875877758,0.486742412412224,1,0.022040184413478294,0,sell
2018-10-05,157.330002,0.4918637077352926,0.5081362922647071,0,0.009568800394001873,0,sell
2018-10-06,157.29000100000002,0.5381370321731455,0.4618629678268543,1,0.00025424902746768867,0,sell
2018-10-07,157.2700005,0.4795162795525009,0.5204837204474986,0,0.0001271568432376637,0,sell
2018-10-08,157.25,0.5128650290875857,0.4871349709124138,1,0.00012717301415668888,0,sell
2018-10-09,157.899994,0.5645840692862707,0.43541593071372936,1,0.0041335071542129885,1,buy
2018-10-10,151.380005,0.44832581317902215,0.551674186820978,0,0.04129188883946368,0,sell
2018-10-11,153.350006,0.4960211898803704,0.5039788101196297,0,0.013013614314519254,1,sell
2018-10-12,153.740005,0.4056591516039989,0.5943408483960011,0,0.002543195205352577,1,sell
2018-10-13,153.63000449999998,0.4017405466412996,0.5982594533587002,0,0.000715496919620969,0,sell
2018-10-14,153.57500425,0.5124386088455255,0.4875613911544742,1,0.00035800461100668506,0,sell
2018-10-15,153.520004,0.4400324605030808,0.5599675394969196,0,0.00035813282420928984,0,sell
2018-10-16,158.779999,0.5232333760377694,0.4767666239622311,1,0.03426260332822818,1,buy
2018-10-17,159.419998,0.4933179022770928,0.5066820977229067,0,0.004030728076777409,1,sell
2018-10-18,154.919998,0.5256259414935736,0.4743740585064266,1,0.028227324403805352,0,sell
2018-10-19,154.050003,0.4727270192443489,0.5272729807556511,0,0.005615769501881796,0,sell
2018-10-20,154.41500100000002,0.5527249947602123,0.4472750052397877,1,0.002369347568269857,1,buy
2018-10-21,154.59750000000003,0.5090664011111771,0.4909335988888228,0,0.0011818735149961696,1,sell
2018-10-22,154.779999,0.5718763117895679,0.4281236882104321,1,0.0011804783389121986,1,buy
2018-10-23,154.389999,0.5348028181941572,0.4651971818058427,1,0.0025197054045724265,0,sell
2018-10-24,146.03999299999998,0.5418122053609102,0.4581877946390896,1,0.05408385293143248,0,sell
2018-10-25,150.949997,0.5437616471113964,0.4562383528886037,1,0.03362095477503902,1,buy
2018-10-26,145.369995,0.5142835793711754,0.4857164206288247,1,0.03696589672671546,0,sell
2018-10-27,143.72999549999997,0.5814809922327246,0.4185190077672752,1,0.011281554353771673,0,sell
2018-10-28,142.90999574999998,0.5147207575763811,0.485279242423619,1,0.005705140024164225,0,sell
2018-10-29,142.08999599999999,0.5367398335020428,0.4632601664979574,1,0.005737875406801234,0,sell
2018-10-30,146.220001,0.5926660270367058,0.4073339729632941,1,0.02906612088299314,1,buy
2018-10-31,151.78999299999998,0.5713565372998078,0.4286434627001927,1,0.03809322911986565,1,buy
2018-11-01,151.75,0.5367051029676394,0.46329489703236,1,0.00026347586694981467,0,sell
2018-11-02,150.350006,0.487904224682016,0.5120957753179838,0,0.009225660626029603,0,sell
2018-11-03,149.5149995,0.5468526580808456,0.4531473419191542,1,0.005553751025457358,0,sell
2018-11-04,149.09749625,0.4958260731975722,0.5041739268024279,0,0.002792383716658352,0,sell
2018-11-05,148.679993,0.573491583905223,0.4265084160947771,1,0.0028002029578012445,0,sell
2018-11-06,149.940002,0.5206460688658835,0.4793539311341167,1,0.008474637202868288,1,buy
2018-11-07,151.529999,0.5794085016326439,0.4205914983673558,1,0.010604221547229346,1,buy
2018-11-08,147.869995,0.5852534951159147,0.4147465048840854,1,0.024153659500783173,0,sell
2018-11-09,144.96000700000002,0.5625251114526947,0.4374748885473052,1,0.01967936767699201,0,sell
2018-11-10,143.255005,0.5583335021319262,0.4416664978680737,1,0.011761878571101388,0,sell
2018-11-11,142.40250400000002,0.6004368444072606,0.39956315559273947,1,0.0059509334420810595,0,sell
2018-11-12,141.550003,0.5266638533070639,0.4733361466929364,1,0.005986559056574018,0,sell
2018-11-13,142.16000400000001,0.5695263749228471,0.4304736250771528,1,0.004309438269669349,1,buy
2018-11-14,144.220001,0.5523911742317262,0.4476088257682742,1,0.014490693176964045,1,buy
2018-11-15,143.850006,0.5319664566737791,0.4680335433262208,1,0.002565490205481199,0,sell
